utter,intent
මට නව ගිණුමක් විවෘත කරන්න ඕන,1
මට අලුත් ගිණුමක් විවෘත කරන්න ඕන,1
අලුත් ගිණුමක් විවෘත කරන්න ඕන,1
නව ගිණුමක් විවෘත කරන්න ඕන,1
එකව්න්ට් එකක් ඕපන් කරන්න ඕනි,1
අලුත් ගිණුමක් ඕන,1
අලුත් ගිණුමක් ඕනි,1
නව ගිණුමක් ඕනි,1
නව ගිණුමක් හදන්න,1
අලුත් ගිණුමක් හදන්න,1
ගිණුමක් විවෘත කරන්න ඕනි,1
අලුත් එකව්න්ට් එකක් ඕපන් කරන්න ඕනි,1
එකව්න්ට් එකක් ඕපන් කරන්න,1
ගිණුමක් විවෘත කරන්න ඕන,1
මට අලුත් එකව්න්ට් එකක් අරින්න ඕන,1
එකව්න්ට් එකක් අරින්න,1
මට අලුත් එකව්න්ට් එකක් අරින්න,1
අලුත් එකව්න්ට් එකක් හදන්න,1
එකව්න්ට් එකක් ඕපන් කරන්නේ කොහොමද,1
අලුත් ගිණුමක් අරින්න,1
නව ගිණුමක් අරින්න,1
ගිණුමක් අරින්න,1
ඉතිරීකිරීමේ ගිණුමක්,2
ඉතිරීකිරීමේ ගිණුමක් විවෘත කරන්න ඕනි,2
මට ඕන ඉතිරිකිරීමේ ගිණුමක් ,2
මට ඕනි ඉතිරිකිරීමේ ගිණුමක් ,2
සේවින්ග්ස් එකව්න්ට් එකක් ඕපන් කරන්න,2
ඉතිරිකිරීමේ ගිණුමක් අරින්න,2
මට ඉතිරීකිරීමේ ගිණුමක් ,2
මට සේවින්ග්ස් එකව්න්ට් එකක් ඕපන් කරන්න ඕන,2
මට අලුත් සේවින්ග්ස් එකව්න්ට් එකක් පටන් ගන්න ඕන,2
අලුත් සේවින්ග්ස් එකව්න්ට් එකක්,2
අලුත් සේවින්ග්ස් එකව්න්ට් එකක් ඕන,2
මට ඉතිරිකිරීමේ ගිණුමක් අරින්න අවශ්‍යයි,2
ඉතුරුම් ගිණුමක් හදන්න,2
මට සේවින්ග්ස් එකව්න්ට් එකක් ඕපන් කරගන්න ඕන,2
ඉතුරුම් ගිණුමක් ඕපන් කරන්න,2
ඉතුරුම් ගිණුමක් පටන් ගන්න ඕන,2
ඉතුරුම් ගිණුමක් ඕපන් කරගන්න ඕන,2
ස්ථාවර තැන්පතුවක්,3
ස්ථාවර තැන්පතුවක් විවෘත කරන්න ඕනි,3
ස්ථාවර තැන්පතුවක් ඕනි,3
මට ඕන ස්ථාවර තැන්පතුවක්,3
මට ඵෆ්ඩි එකක් ඕපන් කරන්න ඕන,3
මට ඕන ඵෆ්ඩි එකක්,3
මට ස්ථාවර තැන්පතුවක් අරින්න අවශ්‍යයි,3
මට ඵෆ්ඩි එකක් අරින්න අවශ්‍යයි,3
මට ඵෆ්ඩි එකක්  ඕපන් කරගන්න ඕන,3
මට ඵෆ්ඩි එකක්  ඕපන් කරගන්න ඕනි,3
ස්ථාවර තැන්පතුවක් දාන්න ඕන,3
ඵෆ්ඩි එකක් දාන්න ඕන,3
ඵෆ්ඩි එකක්,3
මට ඵෆ්ඩි එකක් අරින්න ඕන,3
ස්ථාවර තැන්පතුවක් ඕනි,3
සාමානය ඉතුරුම් ගිණුමක්,4
කාන්තා ඉතුරුම් ගිණුමක්,4
යොවුන් ඉතුරුම් ගිණුමක්,4
ජේයෂ්ට පුරවැසි ඉතුරුම් ගිණුමක්,4
එක,5
දෙක,5
තුන,5
හතර,5
පහ,5
තව ට්‍රයි එකක් ඕන,6
ආයෙත් පටන් ගන්න,6
මට මේක ආයේ ට්‍රයි කරන්න පුලුවන්ද,6
මට ආපහු ට්‍රයි කරන්න ඕන,6
තව පාරක් කරලා බලන්න,6
ආයෙත් කරන්න,6
ආපහු කරලා බලන්න,6
